rideType,displayName,currency,minCostCent,maxCostCent,journeyDuration,distanceMiles,primeTimeConfirmationToken,primeTimePercentage,currentDate
lyft,Lyft,USD,800,1100,473,1.16,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,2000,3000,1166,3.86,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_line,Lyft Line,USD,1621,1621,1166,3.86,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft,Lyft,USD,1200,2100,1166,3.86,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1200,125,0.0,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft,Lyft,USD,800,800,125,0.0,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1200,326,0.62,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_line,Lyft Line,USD,600,600,326,0.62,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft,Lyft,USD,800,900,326,0.62,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,2700,3800,1430,5.74,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_line,Lyft Line,USD,2112,2112,1430,5.74,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft,Lyft,USD,1700,2600,1430,5.74,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,2500,3700,1174,5.13,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_line,Lyft Line,USD,2090,2090,1174,5.13,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft,Lyft,USD,1600,2600,1174,5.13,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_plus,Lyft Plus,USD,1700,2600,935,3.27,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_line,Lyft Line,USD,1382,1382,935,3.27,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft,Lyft,USD,1000,1800,935,3.27,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_plus,Lyft Plus,USD,1700,2700,1026,3.25,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_line,Lyft Line,USD,1430,1430,1026,3.25,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft,Lyft,USD,1000,1900,1026,3.25,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1400,445,1.07,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_line,Lyft Line,USD,702,702,445,1.07,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft,Lyft,USD,800,1100,445,1.07,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_plus,Lyft Plus,USD,1400,2300,908,2.36,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_line,Lyft Line,USD,1203,1203,908,2.36,,0%,Thu Apr 21 00:19:15 EDT 2016
